# teff	logg	feh	2MASS_H	2MASS_J	2MASS_Ks	GROUND_COUSINS_I	GROUND_COUSINS_R	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	TYCHO_B_MvB	TYCHO_V_MvB	STROMGREN_b	STROMGREN_u	STROMGREN_v	STROMGREN_y	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	SkyMapper_u	SkyMapper_v	SkyMapper_g	SkyMapper_r	SkyMapper_i	SkyMapper_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV	SPITZER_IRAC_36	SPITZER_IRAC_45	NGTS_I	TESS	KEPLER_Kp
1.500000000000000000e+04	2.250000000000000000e+00	-1.000000000000000000e+00	2.864292469747874832e+10	8.054768431373352051e+10	1.021089554942668724e+10	3.676781702592143555e+11	7.227035001415062256e+11	3.094754759275194336e+12	1.247392274360093506e+12	2.561117768358437012e+12	2.741683635416516602e+12	1.381118736532873291e+12	2.047077721109716797e+12	3.017210457115702148e+12	2.958950104544909180e+12	1.237613473620438721e+12	8.728291882653553467e+11	4.048490532950867920e+11	1.557402808933433838e+12	1.825013178508553467e+12	4.266952250082512817e+11	8.269048494801566162e+11	8.318272158092558594e+11	1.984122887250115356e+11	2.741512812570840759e+11	2.001534489220531982e+12	4.356021192720039062e+11	8.362280304121757812e+11	3.069657103200184570e+12	2.504697649532171631e+11	2.985171699841053711e+12	3.246475568285664551e+12	1.590336403840493652e+12	8.583956161323758545e+11	3.848779444426811523e+11	2.349401778687778931e+11	1.916435204503342390e+09	5.588769159547213316e+08	1.304323743826536914e+13	6.908670273822441406e+12	1.535827523628527880e+09	6.149894334216594696e+08	6.309805503494543457e+11	4.213660671262473145e+11	9.297643782564317627e+11
1.500000000000000000e+04	2.250000000000000000e+00	-6.989700043360187465e-01	2.878111741501081848e+10	8.098030859568257141e+10	1.025652626339267159e+10	3.702137467079282837e+11	7.282393917462004395e+11	3.132385326516497070e+12	1.258161761132428467e+12	2.585776045842442383e+12	2.768270406709316895e+12	1.393186683010224121e+12	2.065532977747475830e+12	3.058409869968933594e+12	2.987656609972163574e+12	1.248396876059713623e+12	8.801729476561580811e+11	4.076657601498425903e+11	1.571908285894362549e+12	1.841534871325909180e+12	4.297062604640994873e+11	8.333711196128649902e+11	8.385959514799448242e+11	1.995803752003004761e+11	2.758906841587114868e+11	2.019849548083643555e+12	4.386831144269494019e+11	8.427498738136358643e+11	3.108762077398783691e+12	2.520277770680364075e+11	3.025061149455854980e+12	3.281373202967030762e+12	1.604454855067819092e+12	8.652063437441411133e+11	3.875495246950017700e+11	2.363761219650367126e+11	1.924331035489759922e+09	5.611579503576575518e+08	1.298084157810342578e+13	6.965466986499974609e+12	1.542090462593962908e+09	6.175025503499385118e+08	6.358359251728791504e+11	4.243416186887766724e+11	9.374677739237060547e+11
1.500000000000000000e+04	2.250000000000000000e+00	-3.010299956639811980e-01	2.907667841324122238e+10	8.190152923738211060e+10	1.035464743196660423e+10	3.755869514522243042e+11	7.398355344616988525e+11	3.210654478562935547e+12	1.280534470669882568e+12	2.636277416431010254e+12	2.822643070354142578e+12	1.418201084719436523e+12	2.103456055547981201e+12	3.145016917275460938e+12	3.046228901218777344e+12	1.270824149453288574e+12	8.954201929506250000e+11	4.136062266820403442e+11	1.601945448049991943e+12	1.875569858413388184e+12	4.360690032009926147e+11	8.468988771920656738e+11	8.526876627730947266e+11	2.020488119381847229e+11	2.795645639774968262e+11	2.057501566949594727e+12	4.451897428279718018e+11	8.563995998691986084e+11	3.190424097251067383e+12	2.553186250227134399e+11	3.108797200647705078e+12	3.352971025404793457e+12	1.633613451956760010e+12	8.794413134115621338e+11	3.932074640734785156e+11	2.394062982571273804e+11	1.941202475157484531e+09	5.659419029096200466e+08	1.283955236427599414e+13	7.093841466217969727e+12	1.555446190886373758e+09	6.227777559509965181e+08	6.460076810156616211e+11	4.306042698968950195e+11	9.534787533203685303e+11
1.500000000000000000e+04	2.250000000000000000e+00	0.000000000000000000e+00	2.943162373023215866e+10	8.300096536390065002e+10	1.047356776591769791e+10	3.819432710280103760e+11	7.534062758473383789e+11	3.300984962249624512e+12	1.306310642278721924e+12	2.694069168714505859e+12	2.884782315504058594e+12	1.447020780432539062e+12	2.147131188848099365e+12	3.245699993340675781e+12	3.112988885609924316e+12	1.296657658612645752e+12	9.130763282479492188e+11	4.206073051185323486e+11	1.636587088584986084e+12	1.914622800124669189e+12	4.435796232395900879e+11	8.626957905573355713e+11	8.690530513742171631e+11	2.049594006575959473e+11	2.839013658504789429e+11	2.100666428963062744e+12	4.528674671496787720e+11	8.723499871758413086e+11	3.284905850831924316e+12	2.592006656020714722e+11	3.206029100754006348e+12	3.434853342176347168e+12	1.667152910757770020e+12	8.960298147721131592e+11	3.998979471303518677e+11	2.429771519321005859e+11	1.961634161249669075e+09	5.716659883137552738e+08	1.267376370401662891e+13	7.248833962188924805e+12	1.571605693056230783e+09	6.290942483654626608e+08	6.578854910147404785e+11	4.379705265214898682e+11	9.720332969809949951e+11
1.500000000000000000e+04	2.250000000000000000e+00	3.010299956639811980e-01	2.994359012947169876e+10	8.458116385426733398e+10	1.064643926594925880e+10	3.910192876371552734e+11	7.726295890223969727e+11	3.427303145847442383e+12	1.342123118359110840e+12	2.774767063694153320e+12	2.971469770523791504e+12	1.487181634799815186e+12	2.208564718164915039e+12	3.386727233559512695e+12	3.205874307100159668e+12	1.332537258351920166e+12	9.378683245973502197e+11	4.305826936161431885e+11	1.685040388001484375e+12	1.969012826357436279e+12	4.542934319537846069e+11	8.850201121222662354e+11	8.920800823174759521e+11	2.091034064583182068e+11	2.900858161506816406e+11	2.160824713844010742e+12	4.638182363318752441e+11	8.949069189669166260e+11	3.417080024197438965e+12	2.647324016249255371e+11	3.342175887356833984e+12	3.549121398756719238e+12	1.713939149261085693e+12	9.194109223724885254e+11	4.094499367706630249e+11	2.480622834990243835e+11	1.991346620646998644e+09	5.798899123537390232e+08	1.243439099604509180e+13	7.466588283782009766e+12	1.595084554746284008e+09	6.381792751593097448e+08	6.746454844567824707e+11	4.484494809523856812e+11	9.980854379704631348e+11
1.500000000000000000e+04	2.500000000000000000e+00	-1.000000000000000000e+00	2.862247591422029495e+10	8.051877648966781616e+10	1.019516420337198830e+10	3.677812033693253784e+11	7.245409395235681152e+11	3.014386934820992188e+12	1.255607989238717041e+12	2.586323135715787598e+12	2.770972802812410156e+12	1.391146114163741211e+12	2.072889451863799805e+12	2.887321359047818359e+12	3.002781972186860840e+12	1.245347717503251221e+12	8.776386926432098389e+11	4.050708013289002075e+11	1.562527689195075684e+12	1.844367163554497314e+12	4.271033614038252563e+11	8.293877837865672607e+11	8.364676197881154785e+11	1.986279794767547913e+11	2.737943498543219910e+11	2.024407470085909424e+12	4.360322856950799561e+11	8.386501779867897949e+11	2.964980824095226562e+12	2.502379498506199341e+11	2.859408447270761230e+12	3.229418413427344727e+12	1.605148181997236084e+12	8.613912843236221924e+11	3.850687772111286011e+11	2.347946203948467102e+11	1.911788267288886070e+09	5.573313883817237616e+08	1.325086456441803125e+13	6.690478856039772461e+12	1.531994589281141996e+09	6.133038498142158985e+08	6.327479484072802734e+11	4.218181699148742676e+11	9.354553983375318604e+11
1.500000000000000000e+04	2.500000000000000000e+00	-6.989700043360187465e-01	2.875672783605843735e+10	8.094380137056318665e+10	1.023880259990067101e+10	3.703009436899451904e+11	7.301159389750865479e+11	3.051579220651969238e+12	1.266549126642000488e+12	2.611804534478484863e+12	2.798509486581984863e+12	1.403441553436433350e+12	2.091925640584233398e+12	2.927155132208247559e+12	3.032721747333261230e+12	1.256283309240535889e+12	8.851072406410228271e+11	4.078834867264613037e+11	1.577269460214030762e+12	1.861348318203608643e+12	4.301032689342451782e+11	8.359134910700983887e+11	8.433372830465753174e+11	1.997920476452153320e+11	2.755209198735076904e+11	2.043286258996833252e+12	4.391029942632968140e+11	8.452333340959506836e+11	3.003245284039873047e+12	2.517862438572202759e+11	2.898035674694106445e+12	3.264976560929871582e+12	1.619610199594780518e+12	8.682692404841403809e+11	3.877261649495993042e+11	2.362231032037699280e+11	1.919177685458353281e+09	5.594234385405480862e+08	1.321876356651385156e+13	6.747780570969779297e+12	1.537838476619593859e+09	6.156113603087643385e+08	6.376336597847813721e+11	4.247956328159332886e+11	9.432865841191724854e+11
1.500000000000000000e+04	2.500000000000000000e+00	-3.010299956639811980e-01	2.904623020232854080e+10	8.185641246752104187e+10	1.033317904681971931e+10	3.757030784311952515e+11	7.419282609155760498e+11	3.130150296007342285e+12	1.289501298348846680e+12	2.664710735114315918e+12	2.855616457909396484e+12	1.429196747505024170e+12	2.131544032867133057e+12	3.012307162670868164e+12	3.094710384410453613e+12	1.279245937850619385e+12	9.007954572743900146e+11	4.138823660309986572e+11	1.608177488139190918e+12	1.896736243618743408e+12	4.365174099618966064e+11	8.497178285125446777e+11	8.578019035031646729e+11	2.022746765166657104e+11	2.792065575294509277e+11	2.082569038211530029e+12	4.456646543277097778e+11	8.591653807602788086e+11	3.084442494510113770e+12	2.550900217659139709e+11	2.980485794950755859e+12	3.339001926114752441e+12	1.649814811570954102e+12	8.828019400942281494e+11	3.934198593986005859e+11	2.392672195940190430e+11	1.935019956178458452e+09	5.638261911765344143e+08	1.313598517151200781e+13	6.879619133737210938e+12	1.550337737488815546e+09	6.204740472758649588e+08	6.479805732259738770e+11	4.311333322553048096e+11	9.597446829030229492e+11
1.500000000000000000e+04	2.500000000000000000e+00	0.000000000000000000e+00	2.939447038724024200e+10	8.294853893129570007e+10	1.044750970152593040e+10	3.821321913334594727e+11	7.558400722192954102e+11	3.222123703109633301e+12	1.316083289603941406e+12	2.725854988364633301e+12	2.921553066030954590e+12	1.459046235548446533e+12	2.177525633352180664e+12	3.112840056320854492e+12	3.166150747660528809e+12	1.305847189244383545e+12	9.190914478457163086e+11	4.209941453720250854e+11	1.644128796274300781e+12	1.937627640846563232e+12	4.441347075311086426e+11	8.659387803830008545e+11	8.747084148640043945e+11	2.052137000513458252e+11	2.835833402739887695e+11	2.127945847584222900e+12	4.534545544181775513e+11	8.755479073125397949e+11	3.179787577547919922e+12	2.590089533988656921e+11	3.077721763119779785e+12	3.424720988591859375e+12	1.684787571669273438e+12	8.998413084177258301e+11	4.001931616928958130e+11	2.428734269310457764e+11	1.954185036523644209e+09	5.690871126787577868e+08	1.302839171708724414e+13	7.041311761394330078e+12	1.565441771368645668e+09	6.262895839816989899e+08	6.601336100214201660e+11	4.386329460043886108e+11	9.789365646651082764e+11
1.500000000000000000e+04	2.500000000000000000e+00	3.010299956639811980e-01	2.989780727359636307e+10	8.452133082186164856e+10	1.061425358375498962e+10	3.913490282026226196e+11	7.756204573519268799e+11	3.352210338223115234e+12	1.353117404475302002e+12	2.811821988796650879e+12	3.014204172151620605e+12	1.500784448961148926e+12	2.242510813151901367e+12	3.255549564754087402e+12	3.266356058686955566e+12	1.342917157391130615e+12	9.448990739465684814e+11	4.311627799611907959e+11	1.694718426706059326e+12	1.994836456532589844e+12	4.550407619523859253e+11	8.889460838967143555e+11	8.985897820691087646e+11	2.094065989818612976e+11	2.898502526335137329e+11	2.191502150902164795e+12	4.646059995942415771e+11	8.988018592853671875e+11	3.314808490953742676e+12	2.646131359184403381e+11	3.215688408502963867e+12	3.545385278852144043e+12	1.733774941476786377e+12	9.239431026802961426e+11	4.099012475560645142e+11	2.480250666947180176e+11	1.982097670928524971e+09	5.766645540422261953e+08	1.285442469029308008e+13	7.271953127185116211e+12	1.587419171186931133e+09	6.346716720364441872e+08	6.773404756989927979e+11	4.493399645428317871e+11	1.005984364594237793e+12
