# Teff	logg	[Fe/H]	GALEX_FUV	GALEX_NUV	STROMGREN_u	SkyMapper_u	SDSS_u	GROUND_JOHNSON_U	SkyMapper_v	STROMGREN_v	TYCHO_B_MvB	GROUND_JOHNSON_B	STROMGREN_b	SDSS_g	PS1_g	SkyMapper_g	GaiaDR2v2_BP	TYCHO_V_MvB	STROMGREN_y	GROUND_JOHNSON_V	SkyMapper_r	SDSS_r	PS1_r	PS1_w	KEPLER_Kp	GaiaDR2v2_G	GROUND_COUSINS_R	NGTS_I	SDSS_i	PS1_i	SkyMapper_i	GaiaDR2v2_RP	GROUND_COUSINS_I	TESS	PS1_z	SDSS_z	SkyMapper_z	PS1_y	2MASS_J	2MASS_H	2MASS_Ks	WISE_RSR_W1	SPITZER_IRAC_36	SPITZER_IRAC_45	WISE_RSR_W2	WISE_RSR_W3	WISE_RSR_W4	HERSCHEL_PACS_BLUE	HERSCHEL_PACS_GREEN	HERSCHEL_PACS_RED
3.500000000000000000e+03	5.000000000000000000e+00	-5.000000000000000000e-01	3.499795474446636967e-01	5.483602092776863137e+05	2.812655342880742550e+08	3.167229867965008020e+08	3.569200166644833088e+08	4.161839111043855548e+08	5.608955754860371351e+08	1.095242091836734533e+09	1.367395641035992384e+09	1.597471618887851954e+09	2.468503300330033302e+09	2.161766396029906750e+09	2.517736089216589928e+09	3.029893039348862171e+09	3.308154847870836258e+09	3.318208521523035049e+09	3.953266984505362988e+09	3.632857709920301914e+09	4.903713490319493294e+09	4.983209579030426979e+09	4.970728759830709457e+09	5.327918033469708443e+09	4.992781725947267532e+09	5.283036153659739494e+09	5.399390681244958878e+09	5.922424654258243561e+09	6.718367527199352264e+09	6.813389760527795792e+09	7.038092356719408035e+09	6.721146886866375923e+09	7.189900410473812103e+09	6.584491021953329086e+09	7.306283278945052147e+09	7.234452140494964600e+09	7.189314596002335548e+09	7.104550757238056183e+09	5.393325613969001770e+09	3.173497945758633614e+09	1.381590728944896936e+09	2.908834767093492150e+08	2.636589183890161514e+08	1.176073162659681141e+08	1.057794431991372406e+08	6.434711943959369324e+06	4.001026430628991220e+05	2.851030456824838438e+03	5.701916390823938627e+02	1.572813616624963799e+02
3.750000000000000000e+03	0.000000000000000000e+00	-5.000000000000000000e-01	6.440207930145868190e-03	3.465476332749587891e+04	7.660529495999860764e+07	9.660560202123701572e+07	1.160524613011861891e+08	1.451883027688175440e+08	2.194404820253522098e+08	6.497579373177829981e+08	1.069853834582874894e+09	1.495763869592298031e+09	2.733247194719468117e+09	2.632487771346503735e+09	3.120252977422548771e+09	3.871364474699935913e+09	4.139934986030759811e+09	4.434010530306953430e+09	5.027805721096539497e+09	4.836894147379306793e+09	6.317374549948791504e+09	6.418938334112050056e+09	6.437809314927629471e+09	6.301919059657962799e+09	5.939119281214221954e+09	6.072317241441331863e+09	6.718978219884252548e+09	6.849897808594810486e+09	7.467733586962381363e+09	7.498721682228155136e+09	7.547932377026620865e+09	7.357769733414233208e+09	7.595666035049685478e+09	7.246416639519318581e+09	7.506590253893008232e+09	7.410682247671905518e+09	7.389980383466826439e+09	7.174284342627636909e+09	6.192711585343256950e+09	5.265627235375102997e+09	2.338882457461483002e+09	4.783414407027088404e+08	3.914549137098266482e+08	1.355991199958098829e+08	1.219554657868665010e+08	7.981714613740770146e+06	4.576038164955428219e+05	3.047261933994994251e+03	6.010269160118770060e+02	1.644205129094401912e+02
3.750000000000000000e+03	5.000000000000000000e-01	-5.000000000000000000e-01	1.623644903723496860e-02	5.753846570884835091e+04	1.067968782704485357e+08	1.347125922141896188e+08	1.612826539240529835e+08	2.004412955057136118e+08	2.989646390895658731e+08	8.066835313411065340e+08	1.247989131570200920e+09	1.678916555759113312e+09	3.004553630363033295e+09	2.797007275202939987e+09	3.283314428106681347e+09	4.010602954422808647e+09	4.240904496290285110e+09	4.539031296462094307e+09	5.156826281287242889e+09	4.922172564274003029e+09	6.333511490765769005e+09	6.433930850187729836e+09	6.443384777927125931e+09	6.322972176434061050e+09	5.981997201167282104e+09	6.102137337613817215e+09	6.716347624734264374e+09	6.855617371187074661e+09	7.444174446571400642e+09	7.479487287460312843e+09	7.535935913930254936e+09	7.336505990398645401e+09	7.588520213943592072e+09	7.227500451862965584e+09	7.489056140797013283e+09	7.394253951034584045e+09	7.362641027326994896e+09	7.173876085033712387e+09	6.130955701774153709e+09	5.308929954925336838e+09	2.332272078555574417e+09	4.712401873896453381e+08	3.870295302629140019e+08	1.361807052561032474e+08	1.226148758370282501e+08	7.941781793522566557e+06	4.573037706880834303e+05	3.060635918203620804e+03	6.044357218608191715e+02	1.654893673861222112e+02
3.750000000000000000e+03	1.000000000000000000e+00	-5.000000000000000000e-01	4.105341815636532471e-02	9.198563714622688713e+04	1.449584274304594100e+08	1.821403128192365468e+08	2.170574623761845231e+08	2.676917393714057207e+08	3.935346846030321717e+08	9.726831997084534168e+08	1.420171894097442627e+09	1.843913713069337845e+09	3.215205858085806370e+09	2.920751224524818420e+09	3.401217410004914284e+09	4.103650150385605335e+09	4.309443590549141884e+09	4.594308584228259087e+09	5.235202026221690178e+09	4.963797048452088356e+09	6.322293706554756165e+09	6.422511607069123268e+09	6.422703570725101471e+09	6.337901933967928886e+09	6.011415994649828911e+09	6.131209342553025246e+09	6.699795914406678200e+09	6.864390455209360123e+09	7.444951248671093941e+09	7.487089060478345871e+09	7.557538355422261238e+09	7.342515237704434395e+09	7.619460206148550034e+09	7.233776300148875237e+09	7.519891368597472191e+09	7.426529639320148468e+09	7.387022403939356804e+09	7.221344814198912621e+09	6.112064528516294479e+09	5.333402650937335968e+09	2.317208082432780743e+09	4.612983848594017625e+08	3.814764064259695411e+08	1.366997765281819403e+08	1.231780220967116356e+08	7.881907361280245706e+06	4.568037016678766813e+05	3.072699266304698085e+03	6.074777076241068698e+02	1.664552394114381570e+02
3.750000000000000000e+03	1.500000000000000000e+00	-5.000000000000000000e-01	1.046755246824466468e-01	1.412758797918306082e+05	1.919921233819878101e+08	2.392156004656950533e+08	2.830236001069132090e+08	3.458769886413456202e+08	5.003250338254548907e+08	1.149086916909619808e+09	1.592252468217821360e+09	2.001249433725526810e+09	3.388004950495048046e+09	3.026188953785706520e+09	3.499221334426620960e+09	4.177861469110250473e+09	4.369118131072818756e+09	4.630654904634490013e+09	5.295384386174015045e+09	4.992198138797316551e+09	6.310662928460259438e+09	6.411719535234066010e+09	6.402428448855897903e+09	6.368188720266831398e+09	6.050073501039484978e+09	6.178436112931950569e+09	6.693569458148629189e+09	6.896323663796116829e+09	7.486321126510143280e+09	7.537155117835608482e+09	7.626439465736456871e+09	7.389492102510972977e+09	7.701061931414492607e+09	7.278762345904666901e+09	7.606559092946078300e+09	7.513654842175624847e+09	7.467750617170445442e+09	7.320178489273290634e+09	6.133608501672839165e+09	5.334002103372182846e+09	2.289761296671684265e+09	4.472405971649969220e+08	3.737490457050548196e+08	1.370346627879818380e+08	1.235310747908342332e+08	7.797511387711934745e+06	4.557035994228437194e+05	3.081826392719588057e+03	6.099023459861912215e+02	1.672816223919711831e+02
3.750000000000000000e+03	2.000000000000000000e+00	-5.000000000000000000e-01	2.625968604173371523e-01	2.066368302563135512e+05	2.490331244836125076e+08	3.063941525886358619e+08	3.588656797651656270e+08	4.340048289036606550e+08	6.167989045229041576e+08	1.341474562682214499e+09	1.776020482734987974e+09	2.168971116540374756e+09	3.563492574257424355e+09	3.144251080608948708e+09	3.610978714674613953e+09	4.268142332615147591e+09	4.448265556886857033e+09	4.685185876696893692e+09	5.376076281287244797e+09	5.042444350616943359e+09	6.328171796757086754e+09	6.430395721142144203e+09	6.411812323790034294e+09	6.435619594901577950e+09	6.122186697527548790e+09	6.262961265166393280e+09	6.722211445888240814e+09	6.970042248972068787e+09	7.579713694088970184e+09	7.640222822645728111e+09	7.750722282821152687e+09	7.487325899055990219e+09	7.839833651913563728e+09	7.372960043001811981e+09	7.751014994546713829e+09	7.657153024463179588e+09	7.605606304210196495e+09	7.470996525893715858e+09	6.191372464316124916e+09	5.301296156240451813e+09	2.244569590242815495e+09	4.291370817748267055e+08	3.633806826243602633e+08	1.370863468189032078e+08	1.235927190936369002e+08	7.688895312501791865e+06	4.538035034728640458e+05	3.087385980773109168e+03	6.114727953220744894e+02	1.678145523548685389e+02
3.750000000000000000e+03	2.500000000000000000e+00	-5.000000000000000000e-01	6.397624759861283428e-01	2.869420761064348626e+05	3.159504502891756296e+08	3.827093231285670996e+08	4.427296471354811192e+08	5.291220455760240555e+08	7.375297439132105112e+08	1.546103206997083664e+09	1.971545156358842134e+09	2.350520331744884491e+09	3.757786303630363464e+09	3.283260111522471428e+09	3.747202244192069054e+09	4.387495960851570129e+09	4.558531971154388428e+09	4.772275086879224777e+09	5.495810488676994324e+09	5.128451538985752106e+09	6.391321129180067062e+09	6.494843952964642525e+09	6.467526941946115494e+09	6.549557402749234200e+09	6.237756505830579758e+09	6.391533628473541260e+09	6.799079273168841362e+09	7.093495924881658554e+09	7.728433603040936470e+09	7.798816159892811775e+09	7.930364816543886185e+09	7.637589375811008453e+09	8.034349687256697655e+09	7.518041429755461693e+09	7.948129812386864662e+09	7.850684904371710777e+09	7.793188130053551674e+09	7.664925869074774742e+09	6.275560776861900330e+09	5.230477326237776756e+09	2.181409789110019207e+09	4.087454734225288033e+08	3.510748585874423385e+08	1.367444836457981169e+08	1.232637239804175198e+08	7.559043462231170386e+06	4.506033907260274282e+05	3.087436072877823335e+03	6.118396456805737671e+02	1.679175342518006175e+02
3.750000000000000000e+03	3.000000000000000000e+00	-5.000000000000000000e-01	1.463841715830114687e+00	3.809725590004128753e+05	3.832738832277597785e+08	4.571687117753828168e+08	5.231190592016608715e+08	6.187731587498850822e+08	8.482335247075505257e+08	1.739190123906704903e+09	2.158960444505007267e+09	2.528315139045087337e+09	3.957023927392739773e+09	3.429796869586892605e+09	3.896961100284721851e+09	4.532549236089708328e+09	4.702314277090170860e+09	4.893555420559701920e+09	5.658607866507745743e+09	5.254778955165492058e+09	6.522246581858436584e+09	6.628619579073764801e+09	6.593830413378618240e+09	6.724191884843850136e+09	6.407962390567591667e+09	6.574567472148053169e+09	6.947037326188356400e+09	7.282917117914788246e+09	7.949111769472479820e+09	8.028722735242808342e+09	8.178610849199090004e+09	7.855236420274095535e+09	8.296186119020080566e+09	7.728515324839326859e+09	8.205486866700953484e+09	8.101084849229842186e+09	8.036413858292700768e+09	7.907956011230301857e+09	6.375677281998533249e+09	5.107241559517524719e+09	2.099226242305037260e+09	3.878298898722334504e+08	3.377225134488576651e+08	1.359408761073151529e+08	1.224918497186920047e+08	7.415213187622692436e+06	4.460032474656526465e+05	3.079677179515344505e+03	6.109435301639883846e+02	1.677495696612248253e+02
3.750000000000000000e+03	3.500000000000000000e+00	-5.000000000000000000e-01	3.087437904086453688e+00	5.063429938475624076e+05	4.430498567887622118e+08	5.206956666142641902e+08	5.922705613815939426e+08	6.953619478849261999e+08	9.422126156547287703e+08	1.884639467930027962e+09	2.304485572168533325e+09	2.670429729921633244e+09	4.108441006600661278e+09	3.565587646121290207e+09	4.045097172306053638e+09	4.699111524486303329e+09	4.887795699714252472e+09	5.060260408268328667e+09	5.870411203814063072e+09	5.437141461839745522e+09	6.769910278610799789e+09	6.880771861270934105e+09	6.843775454806305885e+09	6.998691257155008316e+09	6.664057731454510689e+09	6.843211032962547302e+09	7.219211306410058022e+09	7.582157134757439613e+09	8.292575626484259605e+09	8.377915790936932564e+09	8.537866859663928986e+09	8.185179594625265121e+09	8.663364939225128174e+09	8.046060075416819572e+09	8.555294836334967613e+09	8.435519154985392570e+09	8.359158534493577003e+09	8.213803172021393776e+09	6.456244006665682793e+09	4.874559646431889534e+09	1.995398752266772270e+09	3.705704646120083928e+08	3.259762187629942894e+08	1.352479529200903475e+08	1.218438259301405400e+08	7.289245467637546360e+06	4.411031771211063606e+05	3.067405912023151814e+03	6.093311272748702550e+02	1.673786479309863751e+02
3.750000000000000000e+03	4.000000000000000000e+00	-5.000000000000000000e-01	5.753001512218917313e+00	7.194229885498041986e+05	5.067734990360769033e+08	5.848350630109027624e+08	6.618236460634993315e+08	7.706302975553649664e+08	1.031448131731936693e+09	1.990099927113701820e+09	2.414655418347286701e+09	2.788046109255897045e+09	4.228062706270626545e+09	3.713414233252062321e+09	4.212185114434807301e+09	4.909427754706815720e+09	5.136408852043739319e+09	5.300892258389993668e+09	6.143243146603097916e+09	5.699579487476918221e+09	7.164162240006664276e+09	7.280473167957542419e+09	7.250007071032897949e+09	7.379718908272522926e+09	7.014252421587585449e+09	7.196409610115854263e+09	7.636303696912478447e+09	7.988066169270238876e+09	8.740682980444206238e+09	8.823363312231899261e+09	8.973765208448940277e+09	8.605278807507850647e+09	9.093716900599494934e+09	8.449891442785058022e+09	8.947494682103054047e+09	8.803437503461910248e+09	8.710671451233083725e+09	8.529098049718276978e+09	6.490986305641833305e+09	4.497217747322141647e+09	1.882084907915974379e+09	3.617596988214285374e+08	3.199457591970274448e+08	1.356806939837880135e+08	1.222503217990721017e+08	7.222348457447384484e+06	4.382031160495796939e+05	3.059012944058948506e+03	6.080962009296366659e+02	1.671471921477705109e+02
