# teff	logg	feh	2MASS_H	2MASS_J	2MASS_Ks	GROUND_COUSINS_I	GROUND_COUSINS_R	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	TYCHO_B_MvB	TYCHO_V_MvB	STROMGREN_b	STROMGREN_u	STROMGREN_v	STROMGREN_y	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	SkyMapper_u	SkyMapper_v	SkyMapper_g	SkyMapper_r	SkyMapper_i	SkyMapper_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV	SPITZER_IRAC_36	SPITZER_IRAC_45	NGTS_I	TESS	KEPLER_Kp
2.000000000000000000e+03	4.000000000000000000e+00	5.000000000000000000e-01	4.859590404312765002e+08	6.832781781794610023e+08	2.955443657696356177e+08	1.562744085200155079e+08	4.157001200852826238e+07	7.487699102606355445e+05	9.678825340650416911e+06	5.587507936033668928e+06	3.679971881165960804e+06	1.002568612068154477e+07	7.738135143406132236e+06	4.032262345811201376e+05	3.432605579594311304e+06	8.465114119738623500e+06	1.053590549757740647e+08	1.924921870648779869e+08	1.142444975732292794e+07	8.146348039220991544e+06	1.108516726293160021e+08	2.186068688855236396e+07	5.620130486791581661e+07	4.950645137892194986e+08	3.105025486484844685e+08	7.728344244849604554e+06	1.066634532574267536e+08	2.041831038973047584e+07	4.906577577574559837e+05	3.616627327032141089e+08	4.501968760633844649e+05	1.357553213702322217e+06	8.452645646826984361e+06	2.187499624261395633e+07	1.437806514072775245e+08	3.985453182873185277e+08	8.331193567410394549e+07	3.110128358092262223e+07	6.135505180579038915e-09	2.517947066820028557e+00	8.357516107743282616e+07	3.441257109439689666e+07	9.098398621898497641e+07	2.134478454498220086e+08	6.073424702039222419e+07
2.000000000000000000e+03	4.000000000000000000e+00	7.500000000000000000e-01	4.835943462720606923e+08	7.031426678964534998e+08	2.945073900651616454e+08	1.722604795546973050e+08	5.053860492347268760e+07	7.970050891798251541e+05	1.288664412202126905e+07	5.972847494833991863e+06	3.885147535760098603e+06	1.273635734074332751e+07	8.443994252733970061e+06	4.230408063446788001e+05	3.482145596683492884e+06	1.210823215269572847e+07	1.150257317433777303e+08	2.069842192249303758e+08	1.489508388216010109e+07	9.496116409867456183e+06	1.223923999645153582e+08	3.011012458408470079e+07	6.481600253098688275e+07	5.073638594612099528e+08	3.323898818331375718e+08	8.588620951183959842e+06	1.184085629342874885e+08	2.860247694832332432e+07	5.208480869017437217e+05	3.803722593723770380e+08	4.754401999398320331e+05	1.446514992136001121e+06	1.050637697243535705e+07	2.944214666463588923e+07	1.592384283703264594e+08	4.162138353769666553e+08	8.209254729942613840e+07	2.968305270051348582e+07	3.475627945854102620e-09	2.660880320611890948e+00	8.338503626112233102e+07	3.278912662524878234e+07	1.021845949436637610e+08	2.275059014518849552e+08	6.902545036080621183e+07
2.000000000000000000e+03	4.000000000000000000e+00	1.000000000000000000e+00	4.782829667820096612e+08	7.226466081588687897e+08	2.921497828415073752e+08	1.886958686911383867e+08	5.361746239533422887e+07	8.883430908579832176e+05	1.372895748770555109e+07	6.515950380335283466e+06	4.332652245841748081e+06	1.355347888884142600e+07	9.088477675481362268e+06	4.585875470149766770e+05	3.913288509335708339e+06	1.336196837474913150e+07	1.229607516828206480e+08	2.210160278268501759e+08	1.557495505081109889e+07	1.051746575895570219e+07	1.347675142412688434e+08	3.031643489507232234e+07	7.043759712054316700e+07	5.271669050538743734e+08	3.562941197345997095e+08	9.464850660386314616e+06	1.304067092017775178e+08	2.880073273752195016e+07	5.726196009858334437e+05	4.025815009994348884e+08	5.196716633041487075e+05	1.631927565744699910e+06	1.128842661224278063e+07	2.999061691123285145e+07	1.745488731588711143e+08	4.385663835984666348e+08	8.121678470922566950e+07	2.858941847499245405e+07	1.796783902035378685e-09	2.040261891376494940e+00	8.316688194038203359e+07	3.146972735436025634e+07	1.105757617923637033e+08	2.412977759050756097e+08	7.452592388804040849e+07
2.000000000000000000e+03	4.000000000000000000e+00	-2.500000000000000000e-01	4.608239846902539730e+08	6.065486588644957542e+08	2.831369031624975204e+08	1.862907891123266518e+08	4.525711340557008237e+07	8.631727727501746267e+05	1.069900064608106203e+07	7.004298949280496687e+06	4.744163512184306979e+06	1.157637354464728571e+07	1.060133179349951446e+07	4.911388514513993287e+05	4.110376935966010205e+06	9.401149002939760685e+06	1.147479381899720877e+08	2.082933391369063556e+08	1.208019081999781728e+07	1.072652738551185094e+07	1.397917339625658095e+08	1.916366519347074628e+07	6.811550423418903351e+07	4.952354130188128352e+08	3.247298444052146077e+08	1.035460979739947058e+07	1.337527028930014223e+08	1.808387180828807130e+07	5.887259223698526621e+05	3.730452031043736935e+08	5.404524475863624830e+05	1.514851443822488189e+06	1.015068245747852325e+07	1.981095451805613190e+07	1.728057992688740790e+08	4.049599437039020061e+08	8.558504412530212104e+07	3.367224404824659228e+07	3.571233926880144694e-08	6.015362430833993912e+00	8.137030333513522148e+07	3.698802085516701639e+07	1.049798197840192020e+08	2.244836481645074785e+08	6.984966578955231607e+07
2.000000000000000000e+03	4.000000000000000000e+00	-5.000000000000000000e-01	4.442414624252035022e+08	5.797881865701470375e+08	2.757871496645812392e+08	2.082867842400189042e+08	5.184163508985911310e+07	9.858937633083250839e+05	1.315902122414504178e+07	8.146234062915734947e+06	5.604426506627630442e+06	1.403630804760663956e+07	1.282238676679933630e+07	5.758725617058656644e+05	4.703238905492171645e+06	1.224004911466541700e+07	1.233881421937083751e+08	2.212407688718653917e+08	1.449808488167178817e+07	1.301184919563810527e+07	1.595406065180216432e+08	2.238437375545985252e+07	7.856338204726876318e+07	4.932892302376720905e+08	3.384250425381583571e+08	1.235202996437535807e+07	1.528985414318695664e+08	2.145256964974129945e+07	6.854278932758304290e+05	3.824694677985146046e+08	6.299212569108614698e+05	1.701009086670384044e+06	1.235705986466666870e+07	2.287870781150297076e+07	1.942768719755787253e+08	4.111959139179672003e+08	8.626966869926090539e+07	3.424849691957420111e+07	7.318042684750864324e-08	9.936558815187140681e+00	7.993896453694771230e+07	3.740957319275875390e+07	1.168411281158019453e+08	2.345358557395313978e+08	7.830338468353448808e+07
2.000000000000000000e+03	4.250000000000000000e+00	0.000000000000000000e+00	4.818817648248829246e+08	6.364956029543967247e+08	2.913417121860167980e+08	1.847382699336878657e+08	4.910000600873064250e+07	5.104186307364609092e+05	1.187809615812315233e+07	5.848914869415626861e+06	3.523653008554281201e+06	1.223305774475256167e+07	9.415119007416823879e+06	2.708545328490042593e+05	2.556194606013517827e+06	1.122869700381404161e+07	1.159068816710232943e+08	2.094038336422308981e+08	1.352223262322875299e+07	1.002571309181508422e+07	1.356469272232783437e+08	2.525315906741604954e+07	6.870403620995453000e+07	4.964245415125975013e+08	3.279242743195886016e+08	9.185950566867159680e+06	1.303306403469200134e+08	2.406563155478884280e+07	3.248394716452599387e+05	3.752180599723777175e+08	2.982025074181977543e+05	9.520441398189532338e+05	1.025647719048368372e+07	2.514402039626733586e+07	1.714301677191324830e+08	4.046607770753529072e+08	8.451702173854874074e+07	3.203543479626479372e+07	2.615135422498879953e-08	2.612168918500687553e+00	8.279537246149472892e+07	3.548911443578702211e+07	1.065751075379751772e+08	2.258770799137582183e+08	7.125327355842231214e+07
2.000000000000000000e+03	4.750000000000000000e+00	7.500000000000000000e-01	5.155325411447755098e+08	7.016482820842221975e+08	3.081283817754738927e+08	1.753648821375203133e+08	5.331013968094396591e+07	2.688891265294020413e+05	1.107747442110869475e+07	4.834242651460791938e+06	2.661332828912100755e+06	1.118315816969171725e+07	8.115859870978293009e+06	1.204417518762218388e+05	1.566728780983755598e+06	1.087095589762903191e+07	1.158801460671170354e+08	2.091963029687093496e+08	1.409715744004419819e+07	8.634833142135640606e+06	1.256504777516917586e+08	3.282631284355873987e+07	6.743095955047594011e+07	5.023615966696420908e+08	3.287893799148730040e+08	7.590851245693392120e+06	1.222367135145339668e+08	3.044075066168417037e+07	1.531941999625685567e+05	3.768847562291175127e+08	1.349457445816169493e+05	5.497722520658414578e+05	8.936117269688174129e+06	3.198883349196257442e+07	1.632335016090718806e+08	4.050447577244982719e+08	8.319841094346264005e+07	2.790373750163277611e+07	1.003812630216824802e-08	2.599658391211385755e+00	8.567105660843554139e+07	3.125072809141101688e+07	1.058334686581399143e+08	2.266851734615185559e+08	7.116394412480898201e+07
2.000000000000000000e+03	4.750000000000000000e+00	1.000000000000000000e+00	5.083831196532006264e+08	7.157492992032824755e+08	3.053809883008344173e+08	1.864066358759717941e+08	5.263553999260202795e+07	3.019732772300310899e+05	1.121288160780060105e+07	5.086915102362529375e+06	2.771841062504951376e+06	1.141376046078002267e+07	8.743286126188663766e+06	1.339331664381430892e+05	1.573641033541139681e+06	1.108072264942649566e+07	1.204825766472027302e+08	2.181948275483068526e+08	1.393313320570250228e+07	9.019035157380443066e+06	1.316767493743199110e+08	3.020714873379108682e+07	6.899776714320068061e+07	5.190374997969612479e+08	3.501115356319341063e+08	7.973757074372898787e+06	1.277755358255708218e+08	2.867022556898883358e+07	1.732221183904924255e+05	3.964202345652261972e+08	1.515318583499013039e+05	6.120786498560620239e+05	9.251475907530650496e+06	2.937720368904430792e+07	1.729876980312331915e+08	4.257579173576328158e+08	8.214614106010785699e+07	2.680576898441679031e+07	6.145824744701819301e-09	2.948510307298163546e+00	8.514757073224651814e+07	2.993195518153237551e+07	1.098670814388560951e+08	2.364444567155395746e+08	7.340531244545382261e+07
2.000000000000000000e+03	4.750000000000000000e+00	-2.500000000000000000e-01	5.003277933592029214e+08	6.327831422184573412e+08	2.928257643626204729e+08	1.803950314073398709e+08	4.432279245226850361e+07	2.619895502330872987e+05	8.969383083440179005e+06	4.900686094861492515e+06	2.729747111336121336e+06	9.574896742858286947e+06	8.525359670011090115e+06	1.251886553807774762e+05	1.677075297329328023e+06	8.576162345047710463e+06	1.108447581708767563e+08	2.027103167904537618e+08	1.072659810278552212e+07	8.335128665095091797e+06	1.322541273937757015e+08	2.029481816574667022e+07	6.510667441097086668e+07	4.852077786303983927e+08	3.172087539452251196e+08	7.679355771841790527e+06	1.266591927255289555e+08	1.890315953682282194e+07	1.515820119578411395e+05	3.641779491372443438e+08	1.375943284473086242e+05	5.304291721191608813e+05	8.062922969767220318e+06	2.068298999267861620e+07	1.669812429643242061e+08	3.891380965378043056e+08	8.604703048121425509e+07	3.150886569896543771e+07	8.697611366593362089e-08	2.099298116065488884e+00	8.426849864606392384e+07	3.503472556986470520e+07	1.020830148552315235e+08	2.176358804469507337e+08	6.731226338917525113e+07
2.000000000000000000e+03	4.750000000000000000e+00	-5.000000000000000000e-01	4.825248157595571876e+08	6.129812648702529669e+08	2.818017383343170285e+08	1.976934681135336459e+08	4.837560787063896656e+07	2.965159802873713779e+05	1.023696534298589453e+07	5.296448905577843077e+06	2.990751241462809499e+06	1.074590961408142373e+07	9.544865232805071399e+06	1.485314511295279372e+05	1.782153306074761553e+06	1.015849552956757508e+07	1.171759723754764646e+08	2.127542623985099494e+08	1.199481372258798778e+07	9.289924731558371335e+06	1.464882258731451035e+08	2.211408212707758695e+07	7.224141617425839603e+07	4.859689114966933131e+08	3.299385475110620856e+08	8.427728869758781046e+06	1.401119057623408139e+08	2.098038871131692827e+07	1.777808404287051526e+05	3.735915793390664458e+08	1.624845352716353664e+05	5.830680498814430321e+05	9.081063868577348068e+06	2.227366978256314248e+07	1.835163946057191789e+08	3.964521265759779811e+08	8.658282991987791657e+07	3.228478661102291569e+07	1.491449756475193311e-07	2.629592559307504462e+00	8.287061848078985512e+07	3.566887421934886277e+07	1.107021755034698099e+08	2.258690277745252252e+08	7.312710187921471894e+07
