# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV
2.600000000000000000e+03	1.000000000000000000e+00	5.000000000000000000e-01	1.668239018707554579e+09	2.082121691271575928e+09	7.919341905557028055e+08	7.842693802598607726e+06	1.766455401820435002e+07	1.215293353514231555e+07	1.571499947839584053e+08	2.859978854078029990e+08	1.727514635048521683e+07	1.139751451116008684e+07	1.599927445103083551e+08	2.921763826829639077e+07	7.905816086139731109e+07	8.746674929263998270e+08	4.384257724470661879e+08	1.021490965118769370e+07	1.497070875348884463e+08	2.811818874548121914e+07	6.325310499969310127e+06	5.594112890396118164e+08	1.528758407383933365e+08	5.657287089481805265e+07	4.325023346013424911e-10	2.470699020529370102e+02
2.600000000000000000e+03	1.000000000000000000e+00	0.000000000000000000e+00	1.492381863904216051e+09	2.072857287067649841e+09	6.925491534618870020e+08	9.424019098654491827e+06	2.540753831485942379e+07	1.661932644598655775e+07	2.069672343424633741e+08	3.738089689583284259e+08	2.429336909303875268e+07	1.674397913888057694e+07	2.250947065561194420e+08	3.977052948594371229e+07	1.106020610635445714e+08	1.072720161309099555e+09	5.763492520617376566e+08	1.496802487033517845e+07	2.100269306938587725e+08	3.852576725318077207e+07	7.471718811647551134e+06	7.137353340883326530e+08	1.499248944754391015e+08	5.831861635663459450e+07	1.280242980401503703e-09	4.682205428434478449e+02
2.600000000000000000e+03	1.500000000000000000e+00	2.999999999999999889e-01	1.572841875869714022e+09	2.227180877413908005e+09	7.282400737545833588e+08	1.182141547804514505e+07	3.051255362135481089e+07	1.990155207343682274e+07	2.264616535171166360e+08	4.061158720808868408e+08	2.928885608346752450e+07	2.029357049221656099e+07	2.479176123577711284e+08	4.776344802270381153e+07	1.243611319607885778e+08	1.145155628852817774e+09	6.214664047537968159e+08	1.814748927550756186e+07	2.323245927505041957e+08	4.631556144501615316e+07	9.447371932100804523e+06	7.648185306965405941e+08	1.581652546545552015e+08	6.081357429240902513e+07	4.591190903075560110e-09	6.126331395461617149e+02
2.600000000000000000e+03	1.500000000000000000e+00	5.000000000000000000e-01	1.622477651375252247e+09	2.276348943677039146e+09	7.504947337340130806e+08	1.128527484478496388e+07	2.466330125016836822e+07	1.742895353017191961e+07	1.982922054772615135e+08	3.581731108533161283e+08	2.398590587544277310e+07	1.656305205700825714e+07	2.084508696229876876e+08	3.901004784342925996e+07	1.038581724079122841e+08	1.055705169964626074e+09	5.491903118346718550e+08	1.495069815234526806e+07	1.952292447309074998e+08	3.772456321752452105e+07	9.075561867867710069e+06	6.881395371913453341e+08	1.554166430888860822e+08	5.895613512277795374e+07	1.364585984179697954e-09	4.192055633903130456e+02
2.600000000000000000e+03	1.500000000000000000e+00	0.000000000000000000e+00	1.480742619122219563e+09	2.196201307228446007e+09	6.901540341131895781e+08	1.226088631559603475e+07	3.853737083821651340e+07	2.353466200319669396e+07	2.705831016350197196e+08	4.823562520369036794e+08	3.634438415694557875e+07	2.572019966158026457e+07	3.114037042271177769e+08	5.854215432902760059e+07	1.556912272255917788e+08	1.284752217091494799e+09	7.403060877158133984e+08	2.282119695899921283e+07	2.915871056015437841e+08	5.700617478083161265e+07	9.696619137860573828e+06	8.889322188056714535e+08	1.593437531572469473e+08	6.193802677012726665e+07	8.680814946511969461e-09	8.696851876577529765e+02
2.600000000000000000e+03	2.000000000000000000e+00	2.999999999999999889e-01	1.393142873072443724e+09	2.144143453071725607e+09	6.808557872190361023e+08	1.467046390380688384e+07	4.494393179400955141e+07	2.771928098170817643e+07	2.855282771867476106e+08	5.051283294822123647e+08	4.226057944852801412e+07	3.139820741360076517e+07	3.283794070614721179e+08	6.694666744461857527e+07	1.679716224279671907e+08	1.318083570391222477e+09	7.716780824523315430e+08	2.814077854455658421e+07	3.092245316178660393e+08	6.487225345778007805e+07	1.175340065586892329e+07	9.176252121801238060e+08	1.652173663986763954e+08	6.429219215427873284e+07	2.565010371731587108e-08	1.320338488717929067e+03
2.600000000000000000e+03	2.000000000000000000e+00	5.000000000000000000e-01	1.507497019678417444e+09	2.289205980392980576e+09	7.039891294734845161e+08	1.426873917797070742e+07	3.628057904028214514e+07	2.454009524523222819e+07	2.500245404300741553e+08	4.460771232544573545e+08	3.463883799315688014e+07	2.571978128150756657e+07	2.750052731896984577e+08	5.459009920213668048e+07	1.397098021831906736e+08	1.231055211647665739e+09	6.836344064432739019e+08	2.332012931697082892e+07	2.587714812525041103e+08	5.273721581488642097e+07	1.147584340034892410e+07	8.305901307602636814e+08	1.613035259498553574e+08	6.241582428763815016e+07	7.887936079146911129e-09	9.032999331555698745e+02
2.600000000000000000e+03	2.000000000000000000e+00	0.000000000000000000e+00	1.260050827270421267e+09	2.037808114551972389e+09	6.555963693421307802e+08	1.462919459017122351e+07	5.692281253056058288e+07	3.206447420060285926e+07	3.392766828247702718e+08	5.953233459111756086e+08	5.236109621735052019e+07	3.964142274353983253e+07	4.134890366592007875e+08	8.221554605736906826e+07	2.112060406085585058e+08	1.441708904905526400e+09	9.082236353593624830e+08	3.509273684810858965e+07	3.894548406911730170e+08	8.001185124597689509e+07	1.165188508364353701e+07	1.050169278516144156e+09	1.682004774805403948e+08	6.563628150326197594e+07	4.462708370983011686e-08	1.836579197222170251e+03
2.600000000000000000e+03	2.500000000000000000e+00	2.999999999999999889e-01	1.273833062750156164e+09	2.089602877621870041e+09	6.699212235895907879e+08	1.665782688579129986e+07	6.502068018277769536e+07	3.717727752320384979e+07	3.551460247779375315e+08	6.181872119387592077e+08	6.008911786251647770e+07	4.707373321751740575e+07	4.273553995405048728e+08	9.386205220193351805e+07	2.238209970881181061e+08	1.491970219659714699e+09	9.356823965803231001e+08	4.221817305506600440e+07	4.048743427411707044e+08	9.077579579236017168e+07	1.337336784173186310e+07	1.080560967908229828e+09	1.735576663061029911e+08	6.767525123171728849e+07	2.530941080271231309e-07	2.593569601487290583e+03
2.600000000000000000e+03	2.500000000000000000e+00	5.000000000000000000e-01	1.298614780964736223e+09	2.123753046196073771e+09	6.723940545753275156e+08	1.707578387372365966e+07	5.682228212086782604e+07	3.491191545913770050e+07	3.240952173573380113e+08	5.675790044143992662e+08	5.310527775013949722e+07	4.183882400547773391e+07	3.776139689096776843e+08	8.229099751016341150e+07	1.972843338273549974e+08	1.430288857844414711e+09	8.620763964613592625e+08	3.789232733515247703e+07	3.576456571683508754e+08	7.939223809861806035e+07	1.374349802646419778e+07	1.010060731863868117e+09	1.710943338541540802e+08	6.645406375907345861e+07	9.073050591717783474e-08	2.044387227324051310e+03
