# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_COUSINS_I	GROUND_COUSINS_R	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	TYCHO_B_MvB	TYCHO_V_MvB	STROMGREN_b	STROMGREN_u	STROMGREN_v	STROMGREN_y	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV	SPITZER_IRAC_36	SPITZER_IRAC_45	NGTS_I	TESS	KEPLER_Kp
6.800000000000000000e+03	4.500000000000000000e+00	5.000000000000000000e-01	1.267716132444913292e+10	2.974553347393262863e+10	4.885859064040925980e+09	9.107887159630816650e+10	1.375537958499628296e+11	1.378440282808476868e+11	1.799731458041244202e+11	2.045952944875570374e+11	2.045033209856878967e+11	1.864966073184072266e+11	2.214566125600573120e+11	1.237545099412877502e+11	2.137807019316814880e+11	1.814211513535030823e+11	1.325858058656062927e+11	9.405708108931724548e+10	1.782864352422792053e+11	2.031229176082948303e+11	1.010518067622045288e+11	1.490983720378659668e+11	1.376909702310090027e+11	5.677065289483803558e+10	7.163584529899890137e+10	2.069776123053425903e+11	1.023932734750419159e+11	1.503891467255841064e+11	1.306303157437531128e+11	6.681075827609635162e+10	9.467663205959763527e+08	2.793908343396356702e+08	1.872508178715130985e+08	2.457315461540335846e+10	7.602836275090156794e+08	3.070384065568652153e+08	1.220160443909633331e+11	9.491248009398136902e+10	1.452784770848876953e+11
6.800000000000000000e+03	5.000000000000000000e+00	5.000000000000000000e-01	1.279733191947469711e+10	2.977310867639433289e+10	4.911251537801588058e+09	9.113745269851304626e+10	1.368461972912859192e+11	1.399407213164849548e+11	1.777792225377479858e+11	1.999882838825740356e+11	1.992964254114790344e+11	1.841465017064165344e+11	2.182736695245320740e+11	1.313107752403955994e+11	2.082049030001650696e+11	1.792190504844509888e+11	1.314914749484205322e+11	9.391955965018154907e+10	1.763200006698742065e+11	1.997539870046713257e+11	1.009698711498662567e+11	1.481548341444936218e+11	1.366865429404696808e+11	5.655706243947106934e+10	7.170994467174937439e+10	2.032380919500227661e+11	1.022987046344832306e+11	1.494281886814244690e+11	1.349677687939710236e+11	6.679430557258344269e+10	9.489494232700505257e+08	2.794836714678153396e+08	1.835943057250911891e+08	2.542613235585982513e+10	7.617802868174303770e+08	3.071577345509282947e+08	1.214425794551000671e+11	9.469020044214994812e+10	1.440534426573551636e+11
6.800000000000000000e+03	5.500000000000000000e+00	5.000000000000000000e-01	1.290095902643774414e+10	2.979906960411457825e+10	4.940615832335595131e+09	9.126573018119079590e+10	1.361663760268452759e+11	1.407185639499591370e+11	1.751253115242286682e+11	1.946022242020480042e+11	1.932282647393950806e+11	1.813519245286140747e+11	2.144022396386197205e+11	1.363703470601830597e+11	2.012980961225294189e+11	1.765936516784476318e+11	1.302771874515529938e+11	9.391108841723434448e+10	1.738384152608514099e+11	1.956710721727224426e+11	1.009577334844375916e+11	1.472171779701639404e+11	1.355847544373817902e+11	5.654783516019638824e+10	7.196779221484959412e+10	1.987313728523362732e+11	1.022730909971748352e+11	1.484793246169585876e+11	1.376331213168926086e+11	6.697078868004653168e+10	9.525091239789491892e+08	2.797770406103046536e+08	1.834541058356614411e+08	2.532517639527833176e+10	7.641570056000708342e+08	3.074873544355579019e+08	1.208689396662775726e+11	9.458726461974264526e+10	1.426773813157207336e+11
6.800000000000000000e+03	6.000000000000000000e+00	5.000000000000000000e-01	1.296904759770922470e+10	2.983947428134033203e+10	4.959371621601464272e+09	9.145716523173637390e+10	1.360238537841212158e+11	1.387678907673172607e+11	1.734024386076820068e+11	1.904619925709093018e+11	1.883215373247160645e+11	1.796274176719391785e+11	2.129423163296203308e+11	1.377465544526413879e+11	1.955717064899278564e+11	1.749532800436349182e+11	1.295886461355954285e+11	9.404801510165144348e+10	1.721475225228889771e+11	1.929774234194350891e+11	1.011109776514485016e+11	1.469297137609149780e+11	1.350529436309927063e+11	5.664267854972972870e+10	7.219251424147331238e+10	1.956908986154759521e+11	1.024241370009145508e+11	1.481832726969046631e+11	1.370522461661893616e+11	6.715232007934625244e+10	9.553068632121415138e+08	2.800348109398644567e+08	1.873966610555550456e+08	2.469525667173513794e+10	7.661461717843359709e+08	3.077786517774457932e+08	1.206667496667139130e+11	9.467506860264106750e+10	1.419778853612945557e+11
6.900000000000000000e+03	1.000000000000000000e+00	5.000000000000000000e-01	1.036033045499747658e+10	2.541427167616982269e+10	4.017566505583241463e+09	7.851641726054843140e+10	1.257954548990316315e+11	1.354360198646562805e+11	1.787206601026277466e+11	2.442871039036651306e+11	2.510891916351389160e+11	1.892325163561418152e+11	2.422925375695422058e+11	6.986429890228430176e+10	2.683823739968490906e+11	1.794657998601043396e+11	1.289782222466170044e+11	8.391668406303266907e+10	1.821635452851560974e+11	2.191880068991986389e+11	8.757965130175970459e+10	1.384005438090710449e+11	1.306431120902048492e+11	5.325301581586455536e+10	6.600456598621676636e+10	2.290190843220152893e+11	8.888429907797595215e+10	1.396649605204851074e+11	1.082692703337938538e+11	6.223874513672764587e+10	8.068366855868499279e+08	2.434090647372398078e+08	2.175737660974814594e+08	1.359649014717569733e+10	6.504184895166462660e+08	2.672863098373909593e+08	1.118015525910851898e+11	8.560083848606988525e+10	1.406641251266966553e+11
6.900000000000000000e+03	1.500000000000000000e+00	5.000000000000000000e-01	1.114978723296154976e+10	2.722830539872807693e+10	4.330868262116249084e+09	8.374410419885578918e+10	1.321234391419607849e+11	1.230171454813366394e+11	1.810411904853601685e+11	2.275117382625194702e+11	2.307627975493580017e+11	1.902717497398858948e+11	2.370617021641293335e+11	7.280110490148541260e+10	2.430020911618695374e+11	1.823068534137249451e+11	1.314694311096797943e+11	8.882619248610848999e+10	1.810646793917721252e+11	2.142409405037007446e+11	9.348662720713392639e+10	1.446308268700035706e+11	1.346872893156083832e+11	5.583643956589769745e+10	6.905842226561962891e+10	2.214244791848125000e+11	9.483712506667037964e+10	1.459436343300823669e+11	1.016166670496636505e+11	6.504656690956217957e+10	8.638055819544619322e+08	2.594366327076976299e+08	2.118487991945278347e+08	1.326305421699048042e+10	6.955583716794530153e+08	2.849256445828108191e+08	1.170147110526712036e+11	9.032085639185275269e+10	1.439421644069558105e+11
6.900000000000000000e+03	2.000000000000000000e+00	5.000000000000000000e-01	1.161537951646196938e+10	2.839615106239943695e+10	4.512384477908502579e+09	8.778196183400894165e+10	1.394091560921681519e+11	1.352834108204216614e+11	1.932153054353906555e+11	2.450633579332303162e+11	2.490516061024963074e+11	2.030443560970196533e+11	2.542698412365798035e+11	8.527055505873867798e+10	2.630382246457712708e+11	1.944517776900999756e+11	1.393680205737425842e+11	9.296321082152278137e+10	1.937689964851093750e+11	2.299997450349180298e+11	9.824136947367358398e+10	1.528107091244402466e+11	1.427356562738107300e+11	5.786676585042765045e+10	7.137247639815562439e+10	2.379730756560007629e+11	9.966609678060879517e+10	1.542003246444938354e+11	1.135299640834368591e+11	6.718971792021727753e+10	8.952248227795467377e+08	2.680489775102074146e+08	2.722831117035362720e+08	1.759317523806024933e+10	7.204364076305286884e+08	2.944119582197435498e+08	1.233845833152220154e+11	9.459033428770782471e+10	1.527296924744100952e+11
6.900000000000000000e+03	2.500000000000000000e+00	5.000000000000000000e-01	1.197512222574314880e+10	2.922022021929224777e+10	4.656741412519886017e+09	9.057402889189541626e+10	1.430042633196294861e+11	1.361717986730432587e+11	1.960836929900388184e+11	2.423725017760703735e+11	2.453848409657711487e+11	2.053944919694974976e+11	2.549328631562542725e+11	9.312821663104151917e+10	2.582829619365275879e+11	1.974976163860134277e+11	1.416419262138278503e+11	9.543573498338131714e+10	1.957625216797509766e+11	2.307729308422119751e+11	1.013853865405997772e+11	1.564691839434094543e+11	1.456396297238800964e+11	5.880520785639221954e+10	7.262734205197293091e+10	2.379480511133858337e+11	1.028381069452377319e+11	1.578828192964582214e+11	1.170245752446658325e+11	6.826191180894750214e+10	9.192429081521780491e+08	2.743939253541088700e+08	2.722719552756638527e+08	1.942439549770871353e+10	7.393794342863715887e+08	3.013987040912941098e+08	1.264186252107210846e+11	9.697627069191802979e+10	1.553997048285250549e+11
6.900000000000000000e+03	3.000000000000000000e+00	5.000000000000000000e-01	1.231247970397839165e+10	2.982750962640713501e+10	4.782659569568827629e+09	9.244245045563040161e+10	1.445910452423299561e+11	1.399071679253511353e+11	1.965325958097402954e+11	2.387684626240773315e+11	2.412689021275715942e+11	2.052332737043911743e+11	2.522374058342949219e+11	1.034973996754189911e+11	2.535408055190871887e+11	1.979716847282255554e+11	1.423610548115521240e+11	9.684258427456034851e+10	1.958483690277850952e+11	2.292663092598485107e+11	1.033190665181605682e+11	1.578871014524187927e+11	1.467551175661111450e+11	5.914366013374887848e+10	7.338880506671221924e+10	2.358125339480943298e+11	1.047749753897061005e+11	1.592991888866279907e+11	1.233853293708011169e+11	6.882701870226667786e+10	9.374968169825550318e+08	2.790706284522441030e+08	2.923343334357924461e+08	2.254542376501494217e+10	7.536348303635185957e+08	3.065567055246886611e+08	1.278893666064308319e+11	9.824465908812455750e+10	1.561831003137896118e+11
6.900000000000000000e+03	3.500000000000000000e+00	5.000000000000000000e-01	1.254101529151594543e+10	3.020768612869309235e+10	4.865656704202158928e+09	9.376300222136834717e+10	1.455357366033711548e+11	1.425450079304310608e+11	1.961129591582775574e+11	2.341879399892274780e+11	2.360148343983432007e+11	2.043078147564944458e+11	2.492943350389771729e+11	1.129967652021635590e+11	2.476214242419653625e+11	1.976197645018552246e+11	1.424561354805474243e+11	9.776384037977323914e+10	1.951421853369003601e+11	2.269000762193141174e+11	1.046454872612629547e+11	1.586434748677393799e+11	1.471955617535577087e+11	5.923676822498542786e+10	7.389206032425616455e+10	2.328094234782190552e+11	1.061024808082398529e+11	1.600477635120792236e+11	1.287369523641532135e+11	6.915843104248594666e+10	9.495005786746975183e+08	2.819158691591065526e+08	2.953582986863882542e+08	2.498812956960083008e+10	7.630087925666729212e+08	3.097145016305655241e+08	1.287503149993355408e+11	9.904555003137741089e+10	1.563133487993796387e+11
