# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_COUSINS_I	GROUND_COUSINS_R	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	TYCHO_B_MvB	TYCHO_V_MvB	STROMGREN_b	STROMGREN_u	STROMGREN_v	STROMGREN_y	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV	SPITZER_IRAC_36	SPITZER_IRAC_45	NGTS_I	TESS	KEPLER_Kp
3.500000000000000000e+03	5.000000000000000000e+00	-5.000000000000000000e-01	3.173497945758632183e+09	5.392164264759334564e+09	1.381590728944896936e+09	7.189900410473811150e+09	5.399390681244958878e+09	4.161839111043857336e+08	3.632857709920303345e+09	1.597471618887852192e+09	1.367395641035992384e+09	3.318208521523035526e+09	2.468503300330033302e+09	2.812655342880743146e+08	1.095242091836734295e+09	3.953266984505362988e+09	5.283036153659739494e+09	6.721146886866374969e+09	3.308154847870835781e+09	2.517736089216590881e+09	6.813389760527797699e+09	4.970705085940932274e+09	5.327918033469709396e+09	7.104550757238055229e+09	7.306283278945052147e+09	2.161766396029906750e+09	6.718367527199354172e+09	4.983209579030425072e+09	3.569200166644833088e+08	7.234452140494966507e+09	2.908834767093492746e+08	1.057794431991372555e+08	3.499795474446641963e-01	5.483602092776870122e+05	2.636589183890161216e+08	1.176073162659679949e+08	5.922424654258243561e+09	6.584491021953328133e+09	4.992781725947267532e+09
3.750000000000000000e+03	0.000000000000000000e+00	-5.000000000000000000e-01	5.265627235375101089e+09	6.192385207857526779e+09	2.338882457461483002e+09	7.595666035049684525e+09	6.718978219884253502e+09	1.451883027688176632e+08	4.836894147379306793e+09	1.495763869592298746e+09	1.069853834582875490e+09	4.434010530306953430e+09	2.733247194719470024e+09	7.660529495999862254e+07	6.497579373177832365e+08	5.027805721096539497e+09	6.072317241441330910e+09	7.357769733414232254e+09	4.139934986030759811e+09	3.120252977422550678e+09	7.498721682228156090e+09	6.437805187037452698e+09	6.301919059657964706e+09	7.174284342627636909e+09	7.506590253893007278e+09	2.632487771346504211e+09	7.467733586962380409e+09	6.418938334112049103e+09	1.160524613011862189e+08	7.410682247671907425e+09	4.783414407027088404e+08	1.219554657868665159e+08	6.440207930145878598e-03	3.465476332749594440e+04	3.914549137098265290e+08	1.355991199958098233e+08	6.849897808594811440e+09	7.246416639519318581e+09	5.939119281214221001e+09
3.750000000000000000e+03	5.000000000000000000e-01	-5.000000000000000000e-01	5.308929954925334930e+09	6.130616142273517609e+09	2.332272078555573463e+09	7.588520213943589211e+09	6.716347624734263420e+09	2.004412955057137609e+08	4.922172564274004936e+09	1.678916555759114027e+09	1.247989131570201397e+09	4.539031296462094307e+09	3.004553630363034248e+09	1.067968782704485953e+08	8.066835313411067724e+08	5.156826281287243843e+09	6.102137337613817215e+09	7.336505990398645401e+09	4.240904496290286541e+09	3.283314428106683254e+09	7.479487287460312843e+09	6.443378277511550903e+09	6.322972176434061050e+09	7.173876085033712387e+09	7.489056140797012329e+09	2.797007275202940941e+09	7.444174446571400642e+09	6.433930850187730789e+09	1.612826539240530431e+08	7.394253951034584045e+09	4.712401873896452785e+08	1.226148758370282650e+08	1.623644903723499636e-02	5.753846570884845278e+04	3.870295302629138231e+08	1.361807052561031580e+08	6.855617371187073708e+09	7.227500451862967491e+09	5.981997201167282104e+09
3.750000000000000000e+03	1.000000000000000000e+00	-5.000000000000000000e-01	5.333402650937334061e+09	6.111694543909365654e+09	2.317208082432779789e+09	7.619460206148548126e+09	6.699795914406679153e+09	2.676917393714058101e+08	4.963797048452089310e+09	1.843913713069338322e+09	1.420171894097443342e+09	4.594308584228259087e+09	3.215205858085806847e+09	1.449584274304594994e+08	9.726831997084537745e+08	5.235202026221690178e+09	6.131209342553026199e+09	7.342515237704433441e+09	4.309443590549142838e+09	3.401217410004916191e+09	7.487089060478345871e+09	6.422693892959300041e+09	6.337901933967928886e+09	7.221344814198911667e+09	7.519891368597472191e+09	2.920751224524818420e+09	7.444951248671092033e+09	6.422511607069123268e+09	2.170574623761845231e+08	7.426529639320148468e+09	4.612983848594017625e+08	1.231780220967116505e+08	4.105341815636539410e-02	9.198563714622706175e+04	3.814764064259693623e+08	1.366997765281819105e+08	6.864390455209360123e+09	7.233776300148876190e+09	6.011415994649827957e+09
3.750000000000000000e+03	1.500000000000000000e+00	-5.000000000000000000e-01	5.334002103372180939e+09	6.133186824032488823e+09	2.289761296671683311e+09	7.701061931414491653e+09	6.693569458148629189e+09	3.458769886413459182e+08	4.992198138797317505e+09	2.001249433725527048e+09	1.592252468217821836e+09	4.630654904634490013e+09	3.388004950495048046e+09	1.919921233819878697e+08	1.149086916909620047e+09	5.295384386174015045e+09	6.178436112931949615e+09	7.389492102510973930e+09	4.369118131072818756e+09	3.499221334426621914e+09	7.537155117835608482e+09	6.402414924236279488e+09	6.368188720266831398e+09	7.320178489273289680e+09	7.606559092946078300e+09	3.026188953785707474e+09	7.486321126510143280e+09	6.411719535234065056e+09	2.830236001069132686e+08	7.513654842175625801e+09	4.472405971649970412e+08	1.235310747908342034e+08	1.046755246824468549e-01	1.412758797918308701e+05	3.737490457050546408e+08	1.370346627879818082e+08	6.896323663796115875e+09	7.278762345904666901e+09	6.050073501039484978e+09
3.750000000000000000e+03	2.000000000000000000e+00	-5.000000000000000000e-01	5.301296156240452766e+09	6.190872923427809715e+09	2.244569590242814541e+09	7.839833651913561821e+09	6.722211445888242722e+09	4.340048289036609530e+08	5.042444350616944313e+09	2.168971116540374756e+09	1.776020482734988928e+09	4.685185876696893692e+09	3.563492574257424831e+09	2.490331244836125970e+08	1.341474562682214737e+09	5.376076281287244797e+09	6.262961265166394234e+09	7.487325899055989265e+09	4.448265556886857033e+09	3.610978714674616337e+09	7.640222822645727158e+09	6.411794504587924004e+09	6.435619594901578903e+09	7.470996525893714905e+09	7.751014994546714783e+09	3.144251080608948231e+09	7.579713694088969231e+09	6.430395721142143250e+09	3.588656797651658058e+08	7.657153024463179588e+09	4.291370817748268843e+08	1.235927190936369151e+08	2.625968604173375964e-01	2.066368302563139296e+05	3.633806826243602037e+08	1.370863468189031482e+08	6.970042248972069740e+09	7.372960043001811028e+09	6.122186697527548790e+09
3.750000000000000000e+03	2.500000000000000000e+00	-5.000000000000000000e-01	5.230477326237776756e+09	6.274954164712996483e+09	2.181409789110018253e+09	8.034349687256695747e+09	6.799079273168843269e+09	5.291220455760242939e+08	5.128451538985753059e+09	2.350520331744885445e+09	1.971545156358842611e+09	4.772275086879224777e+09	3.757786303630362988e+09	3.159504502891756892e+08	1.546103206997083664e+09	5.495810488676995277e+09	6.391533628473542213e+09	7.637589375811006546e+09	4.558531971154388428e+09	3.747202244192070961e+09	7.798816159892810822e+09	6.467504566234399796e+09	6.549557402749235153e+09	7.664925869074773788e+09	7.948129812386862755e+09	3.283260111522470951e+09	7.728433603040935516e+09	6.494843952964641571e+09	4.427296471354812980e+08	7.850684904371711731e+09	4.087454734225288630e+08	1.232637239804175645e+08	6.397624759861293420e-01	2.869420761064354447e+05	3.510748585874423385e+08	1.367444836457980573e+08	7.093495924881658554e+09	7.518041429755461693e+09	6.237756505830578804e+09
3.750000000000000000e+03	3.000000000000000000e+00	-5.000000000000000000e-01	5.107241559517522812e+09	6.374936194137761116e+09	2.099226242305036306e+09	8.296186119020079613e+09	6.947037326188356400e+09	6.187731587498853207e+08	5.254778955165493011e+09	2.528315139045087814e+09	2.158960444505007267e+09	4.893555420559700966e+09	3.957023927392738819e+09	3.832738832277598977e+08	1.739190123906704903e+09	5.658607866507745743e+09	6.574567472148054123e+09	7.855236420274094582e+09	4.702314277090171814e+09	3.896961100284723759e+09	8.028722735242807388e+09	6.593803618352270126e+09	6.724191884843850136e+09	7.907956011230301857e+09	8.205486866700951576e+09	3.429796869586892128e+09	7.949111769472480774e+09	6.628619579073763847e+09	5.231190592016608119e+08	8.101084849229842186e+09	3.878298898722335100e+08	1.224918497186920047e+08	1.463841715830116685e+00	3.809725590004135738e+05	3.377225134488576055e+08	1.359408761073150933e+08	7.282917117914788246e+09	7.728515324839327812e+09	6.407962390567589760e+09
3.750000000000000000e+03	3.500000000000000000e+00	-5.000000000000000000e-01	4.874559646431889534e+09	6.455350054415548325e+09	1.995398752266770840e+09	8.663364939225124359e+09	7.219211306410057068e+09	6.953619478849265575e+08	5.437141461839745522e+09	2.670429729921633244e+09	2.304485572168533802e+09	5.060260408268326759e+09	4.108441006600659370e+09	4.430498567887622714e+08	1.884639467930028439e+09	5.870411203814063072e+09	6.843211032962549210e+09	8.185179594625264168e+09	4.887795699714252472e+09	4.045097172306055069e+09	8.377915790936930656e+09	6.843746252530078888e+09	6.998691257155008316e+09	8.213803172021391869e+09	8.555294836334968567e+09	3.565587646121290207e+09	8.292575626484257698e+09	6.880771861270935059e+09	5.922705613815940619e+08	8.435519154985391617e+09	3.705704646120084524e+08	1.218438259301405549e+08	3.087437904086458129e+00	5.063429938475631061e+05	3.259762187629942894e+08	1.352479529200902879e+08	7.582157134757439613e+09	8.046060075416820526e+09	6.664057731454508781e+09
3.750000000000000000e+03	4.000000000000000000e+00	-5.000000000000000000e-01	4.497217747322140694e+09	6.489968263548640251e+09	1.882084907915973902e+09	9.093716900599493027e+09	7.636303696912476540e+09	7.706302975553653240e+08	5.699579487476919174e+09	2.788046109255897522e+09	2.414655418347286701e+09	5.300892258389993668e+09	4.228062706270626545e+09	5.067734990360769629e+08	1.990099927113701820e+09	6.143243146603097916e+09	7.196409610115853310e+09	8.605278807507848740e+09	5.136408852043739319e+09	4.212185114434808254e+09	8.823363312231897354e+09	7.249979485549205780e+09	7.379718908272522926e+09	8.529098049718275070e+09	8.947494682103052139e+09	3.713414233252061367e+09	8.740682980444210052e+09	7.280473167957541466e+09	6.618236460634994507e+08	8.803437503461912155e+09	3.617596988214285970e+08	1.222503217990721017e+08	5.753001512218925306e+00	7.194229885498053627e+05	3.199457591970275044e+08	1.356806939837879241e+08	7.988066169270236969e+09	8.449891442785057068e+09	7.014252421587584496e+09
