# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_COUSINS_I	GROUND_COUSINS_R	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	TYCHO_B_MvB	TYCHO_V_MvB	STROMGREN_b	STROMGREN_u	STROMGREN_v	STROMGREN_y	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV	SPITZER_IRAC_36	SPITZER_IRAC_45	NGTS_I	TESS	KEPLER_Kp
3.500000000000000000e+03	5.000000000000000000e+00	-1.000000000000000056e-01	3.705386014511383057e+09	5.072019955493684769e+09	1.731988961475326538e+09	5.177947832771043777e+09	4.029313330854024410e+09	2.054282929783990085e+08	2.826937730614383698e+09	1.148092657275604248e+09	9.646979201188038588e+08	2.563063539616225243e+09	1.820057593563067436e+09	1.267537482692975849e+08	7.506558647702935934e+08	2.967497391216290951e+09	3.960066956428709984e+09	5.029797412619524002e+09	2.544198361975580215e+09	1.881170533205821991e+09	4.769096489291975021e+09	3.769584265485318184e+09	3.842584540671516418e+09	6.007637445841192245e+09	5.838603501354890823e+09	1.619096924400840521e+09	4.701353869644322395e+09	3.855438808475493908e+09	1.656179235050255358e+08	5.853375564266880035e+09	4.115658743036444783e+08	1.216472574745190442e+08	6.972486651261458057e+00	4.876290162539354060e+05	3.384215974286096096e+08	1.338062623753612787e+08	4.351598344406517029e+09	5.056168005610378265e+09	3.693491006410865307e+09
3.750000000000000000e+03	0.000000000000000000e+00	-1.000000000000000056e-01	5.241236065920159340e+09	6.307303568717629433e+09	2.364974978734435081e+09	7.204603922737803459e+09	6.499206653075562477e+09	9.520709516984911263e+07	4.672300401491129875e+09	1.389888403782191753e+09	9.564271048592035770e+08	4.286366516595064640e+09	2.671609783963745594e+09	4.839514521811809391e+07	5.370179602780345678e+08	4.815386043094454765e+09	5.849919092682145119e+09	7.095592982265362740e+09	4.027289709141537666e+09	2.950206024047304630e+09	7.048144325717811584e+09	6.281111601541758537e+09	6.004104031938255310e+09	7.501856181363327026e+09	7.330299993586848259e+09	2.482339043610003948e+09	7.004938484417115211e+09	6.313777300257232666e+09	7.323856966439388692e+07	7.354776283792150497e+09	4.843998411004449129e+08	1.168294657651209831e+08	7.555733629215514134e-03	2.456328363657275986e+04	3.951899986720895171e+08	1.309620912624261230e+08	6.545671563239820480e+09	7.066666470316361427e+09	5.688729327251269341e+09
3.750000000000000000e+03	5.000000000000000000e-01	-1.000000000000000056e-01	5.329790219321517944e+09	6.234425196740353584e+09	2.369271740798846245e+09	7.139823405052741051e+09	6.445843368603224754e+09	1.253792447506376803e+08	4.728272841700154305e+09	1.526941003070781469e+09	1.092568998178163290e+09	4.353365097460012436e+09	2.880575407448945999e+09	6.314542307499368489e+07	6.506959737224957943e+08	4.906192446457833290e+09	5.825516081124240875e+09	7.007403026824218750e+09	4.092992258310456276e+09	3.066526631962993622e+09	6.947954625569643021e+09	6.241319587639868736e+09	5.961833636910151482e+09	7.387425101370327950e+09	7.294112056855261803e+09	2.599641823661973476e+09	6.898760870841633797e+09	6.294842267462538719e+09	9.646093639554089308e+07	7.294037231837766647e+09	4.847502087629677057e+08	1.171175513829644322e+08	1.970635213064114016e-02	4.047083925966727111e+04	3.947050320255833268e+08	1.311596489950230271e+08	6.498977543551591873e+09	6.986788213198057175e+09	5.680341850336094856e+09
3.750000000000000000e+03	1.000000000000000000e+00	-1.000000000000000056e-01	5.406631295721056938e+09	6.195339188190259933e+09	2.371735861065013409e+09	7.059198586314079285e+09	6.354095219069318771e+09	1.609937016766638756e+08	4.736634355072793961e+09	1.645989085514833212e+09	1.222467267094389200e+09	4.368430641287272453e+09	3.030593197517014980e+09	8.069503106573443115e+07	7.719454125620660782e+08	4.938201126294321060e+09	5.775160182908749580e+09	6.907518735602831841e+09	4.120587426483905315e+09	3.137721202764808655e+09	6.824088617932248116e+09	6.157127747164043427e+09	5.883870508600536346e+09	7.315967138205181122e+09	7.266824448236506462e+09	2.677917878127538204e+09	6.767901400644754410e+09	6.233516988341377258e+09	1.240070814700582176e+08	7.250960477252335548e+09	4.852224973939318657e+08	1.175503506896406859e+08	4.914268674207606519e-02	6.520504997507835651e+04	3.944510047743703127e+08	1.315258792054299712e+08	6.421016215169028282e+09	6.899230005011624336e+09	5.634979712743642807e+09
3.750000000000000000e+03	1.500000000000000000e+00	-1.000000000000000056e-01	5.476225296609226227e+09	6.183306870156964302e+09	2.374590322303371429e+09	6.958804104967982292e+09	6.228556215089341164e+09	2.007706495324778557e+08	4.707850100375252724e+09	1.748649510642733812e+09	1.343998011419254303e+09	4.343961939164220810e+09	3.133027269879330635e+09	1.009214227696665078e+08	8.957348589322717190e+08	4.922997920468934059e+09	5.701254667989832878e+09	6.793746546704302788e+09	4.116081733942737579e+09	3.174456725900089741e+09	6.677413059176417351e+09	6.034514413961510658e+09	5.775066054621731758e+09	7.274273246863333702e+09	7.239349417843122482e+09	2.726743639431376934e+09	6.614477346059872627e+09	6.133881202125153542e+09	1.550946770948958099e+08	7.215521659910132408e+09	4.858808307378817797e+08	1.182147789793500602e+08	1.114140071345237626e-01	1.027665937006532477e+05	3.944481327889332175e+08	1.321478699049913436e+08	6.314172701537387848e+09	6.800958784888508797e+09	5.557958300839674950e+09
3.750000000000000000e+03	2.000000000000000000e+00	-1.000000000000000056e-01	5.486180237040923119e+09	6.208361509147371292e+09	2.352817771276553154e+09	6.897741679108693123e+09	6.142576589287674904e+09	2.451659574070584178e+08	4.703209395473041534e+09	1.858882003656820059e+09	1.472615352847589493e+09	4.340444509179053307e+09	3.240066795714727402e+09	1.249313223593541980e+08	1.029480981310073018e+09	4.927971044910233498e+09	5.662382414548776627e+09	6.724643138755578041e+09	4.131904023501480103e+09	3.224330783194911480e+09	6.574997738496561050e+09	5.949125313629144669e+09	5.702659529504224777e+09	7.289272627623649597e+09	7.253114705136751175e+09	2.787719057904519558e+09	6.506789504682935715e+09	6.069137283465858459e+09	1.903663393038961291e+08	7.225255214193310738e+09	4.853047253725027442e+08	1.189917401257998645e+08	2.602929362376976696e-01	1.570288397609693056e+05	3.936198202360070348e+08	1.328542945179085284e+08	6.245052098852826118e+09	6.747518211226213455e+09	5.513339224604109764e+09
3.750000000000000000e+03	2.500000000000000000e+00	-1.000000000000000056e-01	5.531980936048506737e+09	6.231776223918620110e+09	2.355206129857779980e+09	6.784980884004099846e+09	5.989344188348769188e+09	2.853667571301770210e+08	4.628253233690363884e+09	1.929604063538886309e+09	1.569170291410257816e+09	4.267988610494342327e+09	3.274131436223700523e+09	1.486912004799971581e+08	1.142710375446285248e+09	4.854353926875370979e+09	5.568233831095754623e+09	6.608318374002264977e+09	4.085475206120790005e+09	3.214286661046416283e+09	6.421079040271442413e+09	5.791713458452919006e+09	5.569905156579317093e+09	7.284435268634626389e+09	7.226891601377849579e+09	2.794914976487688541e+09	6.348602640785387993e+09	5.929203327145455360e+09	2.230682895501118004e+08	7.200545648976583481e+09	4.862373332834924459e+08	1.204521127197360396e+08	5.661697834680043950e-01	2.317743135743841121e+05	3.940552747958658338e+08	1.342924746973613799e+08	6.115269212448364258e+09	6.647402872756789207e+09	5.406504692990546227e+09
3.750000000000000000e+03	3.000000000000000000e+00	-1.000000000000000056e-01	5.553382727283782005e+09	6.262653829770405769e+09	2.353426220755086899e+09	6.695533560760516167e+09	5.856962859481493950e+09	3.202065521400393248e+08	4.547096674611282349e+09	1.980771017063644886e+09	1.645039239751651287e+09	4.188112052180363178e+09	3.284088000077351570e+09	1.719427909912844300e+08	1.237958157613770008e+09	4.773040954261023521e+09	5.487389262693346977e+09	6.517938654471050262e+09	4.033372902609464169e+09	3.188525687788040161e+09	6.297833293932193756e+09	5.652828114423261642e+09	5.455726467598031044e+09	7.296485053864207268e+09	7.214446959707301140e+09	2.785342772376830101e+09	6.222638436762331963e+09	5.802600583156573296e+09	2.523052896800856590e+08	7.190957321068756104e+09	4.867464796922304630e+08	1.226289941042758226e+08	1.184270583115493825e+00	3.296919583409449551e+05	3.942883228127306104e+08	1.364548590902278721e+08	6.005212981226179123e+09	6.569950309269728661e+09	5.311129049915849686e+09
3.750000000000000000e+03	3.500000000000000000e+00	-1.000000000000000056e-01	5.453409340809108734e+09	6.277327897790166855e+09	2.313187045204712868e+09	6.815251103342027664e+09	5.931350575659573555e+09	3.570886296011322141e+08	4.565337146042716980e+09	2.024691140435114384e+09	1.701698767170465469e+09	4.198560443377362728e+09	3.296975297094162941e+09	1.998724859990624785e+08	1.310799954282353640e+09	4.792994374208506584e+09	5.564119855397226334e+09	6.627506502913897514e+09	4.069264636321915627e+09	3.201740999746482849e+09	6.407473785727038383e+09	5.715665872668651581e+09	5.530058447080583572e+09	7.403998994616975784e+09	7.343798291380949974e+09	2.801658488619464874e+09	6.331490263371874809e+09	5.865292403495899200e+09	2.849036727335533500e+08	7.312695494847026825e+09	4.830229455121278167e+08	1.254892347945747375e+08	2.651177790549966051e+00	4.787624051549690193e+05	3.916323544895565510e+08	1.392521301345904171e+08	6.092579094879828453e+09	6.674643706969869614e+09	5.376599365256488800e+09
3.750000000000000000e+03	4.000000000000000000e+00	-1.000000000000000056e-01	5.041968233836035728e+09	6.290598792255172729e+09	2.180047189195497036e+09	7.354680029102027893e+09	6.432252944941099167e+09	4.220903455392513275e+08	4.855337153323391914e+09	2.141998430513412714e+09	1.807270270064281225e+09	4.464964271523883820e+09	3.425736372859941959e+09	2.495567241357510090e+08	1.424392214042284489e+09	5.095781553560784340e+09	5.983682601292969704e+09	7.137043641134778976e+09	4.345061015252079964e+09	3.385613977267488956e+09	6.976236977943717957e+09	6.199547447745387077e+09	6.000535064221397400e+09	7.719378101491229057e+09	7.775447913004297256e+09	2.962415107558667183e+09	6.902538259751904488e+09	6.331070392904678345e+09	3.431442988844932914e+08	7.713594392936332703e+09	4.716198062076433301e+08	1.288010351161738187e+08	6.748276346087505928e+00	7.551787107032446656e+05	3.839555175552080274e+08	1.424115199399487674e+08	6.588650218725841522e+09	7.150091915371254921e+09	5.796937934887520790e+09
3.750000000000000000e+03	4.500000000000000000e+00	-1.000000000000000056e-01	4.616148736406164169e+09	6.310701178661732674e+09	2.052653920487384319e+09	7.875404169904242516e+09	6.930776095478572845e+09	4.871689245719046593e+08	5.156572791238003731e+09	2.277666823264474869e+09	1.926055209211333275e+09	4.748011482437293053e+09	3.597077299401814938e+09	3.034011895975512266e+08	1.547957300117869616e+09	5.414229427797225952e+09	6.401876466807042122e+09	7.634021725990447044e+09	4.629851493108559608e+09	3.595221814938758850e+09	7.539630385635627747e+09	6.684194871536456108e+09	6.474603075057559013e+09	8.003328442593337059e+09	8.176484883803390503e+09	3.149531556325395107e+09	7.471132604120820045e+09	6.791526311742946625e+09	4.024877540748502612e+08	8.084551676776423454e+09	4.616223538902409077e+08	1.317854216946407855e+08	1.687291089996010029e+01	1.149707748925207648e+06	3.773343556817530394e+08	1.452802821992901564e+08	7.079964112540087700e+09	7.610753321830841064e+09	6.221344954773519516e+09
3.750000000000000000e+03	5.000000000000000000e+00	-1.000000000000000056e-01	4.403365606322594643e+09	6.315496057623871803e+09	1.987856372743547678e+09	8.152667151679166794e+09	7.182729225874885559e+09	5.161505125788767934e+08	5.283582694238542557e+09	2.339877031461695194e+09	1.981718786299641609e+09	4.866219244779251099e+09	3.679805620552289486e+09	3.351294648109372258e+08	1.609283214648720980e+09	5.558068395178407669e+09	6.616138450611289024e+09	7.901526250692679405e+09	4.758788174498956680e+09	3.685228201232658386e+09	7.845234229859825134e+09	6.926712693847290039e+09	6.720724168295339584e+09	8.145126299342612267e+09	8.388662153804127693e+09	3.229418681229119778e+09	7.781327631506540298e+09	7.015254240621627808e+09	4.307614369940564632e+08	8.279459187684061050e+09	4.560069197606052756e+08	1.339586252152755260e+08	3.595291072713183667e+01	1.556519848009661306e+06	3.735159002466658354e+08	1.473933480069885552e+08	7.336175638158702850e+09	7.854114568660199165e+09	6.436317025309906960e+09
