# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV
2.300000000000000000e+03	5.000000000000000000e+00	5.000000000000000000e-01	9.494616703818820715e+08	1.437836292655246258e+09	5.000827883925455809e+08	8.471964953062664717e+05	2.749414785195157677e+07	9.704661236109459773e+06	2.146542843723104596e+08	3.864326569520670176e+08	2.764755969237305224e+07	1.620293367904330045e+07	2.628674593622106612e+08	5.288688165188600123e+07	1.328702070887853801e+08	9.074228060306993723e+08	5.947699205375034809e+08	1.329438601521142200e+07	2.486915665822119713e+08	5.165095004294807464e+07	5.212393677571595763e+05	6.706629766246842146e+08	1.184915238998918235e+08	4.440937609453710914e+07	1.940464156541193961e-09	3.228876643814195546e+01
2.300000000000000000e+03	5.500000000000000000e+00	5.000000000000000000e-01	9.666076860052245855e+08	1.470068980140531301e+09	4.881131089375038743e+08	4.194563656614061329e+05	3.846178526931636035e+07	1.022886689000673965e+07	2.548398577807444930e+08	4.503829693222790360e+08	3.898861160190174729e+07	2.006811782569962740e+07	3.238405639556063414e+08	7.711969227445437014e+07	1.701710220924166441e+08	9.759714082438292503e+08	6.816876554515535831e+08	1.581289271721553802e+07	3.095744817715495229e+08	7.615273525881083310e+07	2.186025440841783129e+05	7.497835483397364616e+08	1.142949569412470758e+08	4.153260088549842685e+07	2.350891482318248435e-09	1.361671285682802335e+01
2.300000000000000000e+03	6.000000000000000000e+00	5.000000000000000000e-01	9.681869496863309145e+08	1.540789445293777704e+09	4.539597267630522251e+08	2.436691179333824257e+05	4.082641694507047534e+07	9.360256358097355813e+06	2.757017747458480597e+08	4.861229181284095049e+08	4.266902131518343836e+07	1.923686791421858594e+07	3.489403526156842709e+08	8.763615279834686220e+07	1.856629799196893275e+08	1.037116143021633506e+09	7.400981632949754000e+08	1.483519628608979285e+07	3.353936736006323695e+08	8.622800446520277858e+07	1.235728403152630926e+05	8.104316456660119295e+08	1.124179468793960363e+08	3.998175407264129817e+07	4.150118594940278989e-09	9.760510494976704976e+00
2.400000000000000000e+03	0.000000000000000000e+00	5.000000000000000000e-01	1.064270888171899438e+09	1.706710528854430199e+09	5.209676036612317562e+08	5.525373074015239254e+06	3.620803204587737098e+06	5.752061568891058676e+06	7.507146190112411976e+07	1.422623730076381266e+08	4.250688177186280489e+06	3.214892354646833614e+06	6.080010518297343701e+07	6.198885125079140067e+06	2.705246248555048555e+07	5.268038642629097104e+08	2.223711144561889172e+08	3.383184632847918198e+06	5.606930573700711876e+07	5.735571214886141010e+06	4.761755781638910063e+06	3.095640271631303430e+08	1.119356010642396808e+08	4.518327062078770995e+07	6.926135563184239595e-12	1.726333350892370220e+02
2.400000000000000000e+03	5.000000000000000000e-01	5.000000000000000000e-01	1.133352784909935713e+09	1.771552267903422594e+09	5.480776146518586874e+08	7.890265822331511416e+06	4.915677990444064140e+06	8.212587698363497853e+06	9.418715523641505837e+07	1.784429791219798625e+08	5.842281700411653146e+06	4.651744162274784409e+06	7.690587304376913607e+07	7.974742815970132127e+06	3.415639677708254755e+07	6.500156201393837929e+08	2.813503483878500462e+08	5.011328826545381919e+06	7.084502197311665118e+07	7.421686345453207381e+06	6.675751869707628153e+06	3.851096920866721272e+08	1.174367295748885572e+08	4.791370976587372273e+07	1.980791434862280915e-11	3.347313977665824609e+02
2.400000000000000000e+03	1.000000000000000000e+00	5.000000000000000000e-01	1.225204679385529757e+09	1.729708305958440065e+09	5.781826630127966404e+08	9.181146670032259077e+06	5.794314071370316669e+06	9.624939993166914210e+06	1.066375953826261163e+08	2.020556849087752402e+08	6.865079942787182517e+06	5.565850009567256086e+06	8.814013805572886765e+07	9.198191936487628147e+06	3.901198400780681521e+07	7.255447998285759687e+08	3.202965057487072945e+08	6.025191858934496529e+06	8.104579153115737438e+07	8.598240658204751089e+06	7.674546549589294009e+06	4.330936583676725626e+08	1.198430411935309768e+08	4.919882718790645897e+07	4.036619338630008447e-11	5.305017948509660073e+02
2.400000000000000000e+03	1.500000000000000000e+00	5.000000000000000000e-01	1.202336854378908157e+09	1.855654719891113281e+09	5.654983921490333080e+08	1.424291065464949794e+07	6.848959078724865802e+06	1.346437328256006539e+07	1.231267085771028548e+08	2.328995995724201500e+08	8.643217221599927172e+06	6.939599142337606288e+06	1.019814715404709578e+08	1.077996644421500340e+07	4.511202013881717622e+07	8.337686504824028015e+08	3.697778080083143711e+08	7.774280859947227873e+06	9.365513463419261575e+07	1.014171037518689595e+07	1.192330201206640154e+07	4.982314249266763926e+08	1.214206790315621793e+08	5.023523946351796389e+07	8.920542203431851043e-11	7.173017379168351226e+02
2.400000000000000000e+03	2.000000000000000000e+00	5.000000000000000000e-01	1.011625384372676134e+09	1.717227687279589653e+09	5.212900680012829900e+08	1.362246757494382374e+07	1.107589943920041993e+07	1.365438576085511595e+07	1.456359681236691177e+08	2.709418602949612141e+08	1.235901531626313925e+07	8.994985008774524555e+06	1.421154044889652431e+08	1.802678118134642020e+07	6.554623910923194885e+07	8.688362264650578499e+08	4.232981588576498032e+08	9.148034246900767088e+06	1.313806231197169274e+08	1.723682326718109474e+07	1.140748605730671808e+07	5.469684799369719028e+08	1.296054926308465302e+08	5.305326513111174107e+07	4.702477260297369852e-10	7.643069088128353314e+02
2.400000000000000000e+03	2.500000000000000000e+00	5.000000000000000000e-01	9.280402958715474606e+08	1.553934740210306883e+09	5.205804126545149684e+08	1.079284172968994640e+07	1.930156097260631993e+07	1.434289174327402934e+07	1.805282943249631822e+08	3.284761390829113722e+08	1.963326292534292862e+07	1.360969014985620603e+07	2.001120374882651865e+08	3.181734456132092699e+07	9.698540649745510519e+07	9.243582886208648682e+08	5.053874296342589855e+08	1.265493223486601189e+07	1.869429777208006382e+08	3.070842494446827471e+07	8.896013303674448282e+06	6.211654674051506519e+08	1.414433397623390257e+08	5.712376458492616564e+07	6.871015818374995942e-09	1.105004403905056051e+03
2.400000000000000000e+03	3.000000000000000000e+00	5.000000000000000000e-01	9.467341728940322399e+08	1.542315579075543880e+09	5.328779023155833483e+08	9.266335533122520894e+06	2.295969564533976093e+07	1.532927761492379382e+07	1.987762128936957419e+08	3.598187554259328246e+08	2.287812830698691308e+07	1.640820583945587464e+07	2.267372009805235267e+08	3.712088300708475709e+07	1.109050424936631024e+08	9.719022286131871939e+08	5.533999879834835529e+08	1.505185154548681155e+07	2.124087378388910890e+08	3.588908233105368167e+07	7.533636662128940225e+06	6.676944288502957821e+08	1.450116665896901488e+08	5.831996252900608629e+07	1.724961907778801841e-08	1.369100672106011643e+03
